real_x,real_y,real_z,x,y,z,x0,y0,z0,d,d0
0.017923355,-0.047463179,0.102,0.0176807,-0.0470691,0.102656,0.0176807,-0.0470691,0.103594,0.000802996,0.00165957
0.022846784,-0.046379138,0.104,0.0229195,-0.0459536,0.103594,0.0229195,-0.0459536,0.104531,0.00059278,0.000684526
0.027635516,-0.044813818,0.106,0.0281582,-0.0448381,0.104531,0.0281582,-0.0448381,0.106406,0.00155917,0.000662447
0.03224673,-0.042791919,0.108,0.0328812,-0.0429824,0.108281,0.0323655,-0.0422423,0.108281,0.000719686,0.000628746
0.036641644,-0.040340921,0.11,0.0368457,-0.0405582,0.110156,0.0368457,-0.0405582,0.109219,0.000336572,0.000836193
0.040785485,-0.037490588,0.112,0.0403222,-0.0380948,0.111094,0.0412412,-0.0374424,0.112031,0.0011836,0.000459283
0.044647444,-0.034272521,0.114,0.0452029,-0.0344284,0.112969,0.0444628,-0.0339127,0.114844,0.00118167,0.000935681
0.048200594,-0.030719746,0.116,0.0480276,-0.0298976,0.116719,0.0480276,-0.0298976,0.116719,0.00110566,0.00110566
0.051421788,-0.02686633,0.118,0.0515567,-0.0268483,0.118594,0.0515567,-0.0268483,0.117656,0.000609148,0.000369711
0.054291545,-0.022747047,0.12,0.05446,-0.0231215,0.119531,0.05446,-0.0231215,0.119531,0.000623174,0.000623174
0.056793911,-0.018397055,0.122,0.0566089,-0.0188992,0.121406,0.0566089,-0.0188992,0.121406,0.000799336,0.000799336
0.058916319,-0.013851617,0.124,0.0588435,-0.0145555,0.125156,0.0588435,-0.0145555,0.123281,0.00135562,0.00100867
0.060649431,-0.009145845,0.126,0.0605883,-0.00842689,0.127031,0.0605883,-0.00842689,0.126094,0.00125861,0.000727611
0.061986977,-0.004314469,0.128,0.0618969,-0.00383041,0.128906,0.0618969,-0.00383041,0.127969,0.00103137,0.000493365
0.06292559,0.00060837,0.13,0.0627693,0.000766081,0.127969,0.0627693,0.000766081,0.129844,0.00204335,0.000271512
0.063464634,0.005589299,0.132,0.0635943,0.0055141,0.133594,0.0635943,0.0055141,0.131719,0.00160079,0.000318715
0.063606032,0.01059588,0.134,0.0633217,0.0104089,0.134531,0.0633217,0.0104089,0.133594,0.00063088,0.000529926
0.063354096,0.015596746,0.136,0.0630457,0.0154592,0.135469,0.0630457,0.0154592,0.135469,0.000629469,0.000629469
