particle_positions_x particle_positions_y particle_positions_z detector_id counts
-0.0447446 -0.0427268 0.184156 0 1157.94
-0.0320204 0.00307158 0.190522 0 1396.9
-0.0891101 -0.00110455 0.187159 0 572.98
-0.0432712 0.0426751 0.183175 0 1189.05
-0.000559255 -0.00421491 0.21019 0 2126.31
0.00218343 0.0605163 0.206563 0 2291.83
0.0221006 0.0205188 0.207137 0 3162.84
0.0622915 0.0647967 0.208848 0 7144.08
0.062911 0.00025982 0.209208 0 6341.78
0.021626 -0.0210709 0.209393 0 3097.75
0.0634394 -0.0630634 0.208901 0 7234.5
-0.00213601 -0.0575953 0.208387 0 2107.96
-0.018795 -0.0219838 0.210509 0 1575.53
-0.0681788 -0.0627538 0.208942 0 719.067
-0.0622459 0.00171159 0.20904 0 798.728
-0.0214237 0.0201016 0.212606 0 1495.86
-0.0629502 0.0661153 0.208829 0 780.303
0.00160798 0.0301839 0.22832 0 1996.22
0.000854565 0.0920011 0.233347 0 2154.74
0.0439924 0.0395702 0.235779 0 3936.41
0.0266763 0.0013126 0.236448 0 2862.38
0.0889101 0.00293884 0.233577 0 8737.47
0.0402529 -0.0442563 0.232746 0 3782.28
0.00271895 -0.0295007 0.235483 0 1950.22
-0.00202097 -0.0885905 0.22929 0 2036.9
-0.0378423 -0.0412079 0.232885 0 1036.47
-0.0290311 -0.000170323 0.23451 0 1182.04
-0.0861653 -0.00163719 0.233129 0 497.479
-0.0430601 0.0448706 0.235215 0 944.341
-0.000699765 -0.00414996 0.257863 0 1605.91
0.000300254 0.0593622 0.260124 0 1652.47
0.020129 0.0215483 0.258482 0 2240.26
0.064134 0.0637618 0.254733 0 5750.77
0.0594483 0.00232777 0.258737 0 4313.78
0.0243644 -0.0201409 0.257095 0 2420.69
0.0661916 -0.0661451 0.256795 0 6125.16
0.000150805 -0.0608155 0.253347 0 1718.92
-0.0209506 -0.0209368 0.257161 0 1175.71
-0.0637697 -0.0661709 0.258921 0 606.926
-0.0593562 -0.00111142 0.258772 0 650.329
-0.0204451 0.0224864 0.254579 0 1203.41
-0.0700016 0.0644856 0.258165 0 554.979
0.00136883 0.0305587 0.280338 0 1444.11
0.000533625 0.0917262 0.280187 0 1666.31
0.0413037 0.0410586 0.280427 0 2826.61
0.0331616 0.000252344 0.281927 0 2355.95
0.0920394 -0.00231197 0.281024 0 6828.81
0.0409211 -0.0454855 0.280945 0 2823.61
-0.00159812 -0.0302495 0.275325 0 1422.55
-0.00204421 -0.088603 0.27821 0 1567.39
-0.0427599 -0.040031 0.279509 0 738.697
-0.0305155 -0.00133972 0.280855 0 877.852
-0.0910739 -0.000415864 0.278924 0 366.281
-0.0424919 0.0415373 0.280001 0 739.115
