x_position;y_position;z_position;angle_distance;count_exp;noisy_count;count_tuning;noisy_count_tuning;count_tuning0;noisy_count_tuning0;;noisy_error;tuning_error;noisy_tuning_error;
0.075;0.04330127;0.33660254;0.158113883;10679.2;10679.63062;10617.7;10764.8;10636.1;10626.4;;4.03234E-05;0.005758858;0.008015582;0.002256723
0.069047619;0.045363235;0.340726471;0.165643116;9352.44;9353.306652;9360;9458.32;9305.52;9293.37;;9.26659E-05;0.000808345;0.01132111;0.010512765
0.063095238;0.047425201;0.344850401;0.173172348;8198.57;8199.146424;8244.22;8304.06;8150.58;8146.97;;7.03079E-05;0.005568044;0.012866878;0.007298834
0.057142857;0.049487166;0.348974332;0.180701581;7196.15;7199.970945;7256.37;7291.59;7149.25;7147.16;;0.000530971;0.008368364;0.013262647;0.004894284
0.051190476;0.051549131;0.353098262;0.188230813;6319.18;6324.571483;6401.53;6409.44;6278.17;6282.88;;0.000853193;0.013031754;0.014283499;0.001251745
0.045238095;0.053611096;0.357222193;0.195760046;5555.67;5561.930786;5635.19;5634.8;5520.51;5524.77;;0.001126918;0.014313305;0.014243107;-7.01986E-05
0.039285714;0.055673062;0.361346123;0.203289278;4888.62;4887.048108;4962.16;4953.33;4862.9;4862.18;;0.000321541;0.0150431;0.013236864;-0.001806236
0.033333333;0.057735027;0.365470054;0.210818511;4306.35;4303.83593;4375.04;4362.71;4284;4287.05;;0.000583805;0.015950863;0.01308765;-0.002863214
0.027380952;0.059796992;0.369593984;0.218347743;3796.24;3788.90073;3850.88;3839.16;3786;3785.55;;0.0019333;0.014393189;0.011305924;-0.003087265
0.021428571;0.061858957;0.373717915;0.225876976;3352.17;3345.583245;3398.59;3385.56;3348.43;3345.33;;0.001964923;0.013847746;0.009960712;-0.003887034
0.01547619;0.063920923;0.377841845;0.233406208;2961.4;2958.708919;3000.37;2986.24;2962.2;2961.21;;0.000908719;0.013159317;0.008387925;-0.004771392
0.00952381;0.065982888;0.381965776;0.240935441;2619.07;2617.82281;2646.61;2638.58;2620.95;2622.74;;0.000476196;0.010515183;0.007449209;-0.003065974
0.003571429;0.068044853;0.386089706;0.248464673;2318.31;2323.842021;2339.37;2329.89;2327.99;2327.89;;0.00238623;0.009084204;0.004995018;-0.004089186
-0.002380952;0.070106818;0.390213637;0.255993906;2054.93;2048.915623;2067.41;2059.35;2066.59;2065.75;;0.002926804;0.0060732;0.002150925;-0.003922275
-0.008333333;0.072168784;0.394337567;0.263523138;1822.3;1822.736466;1827.35;1822.95;1837.31;1836.79;;0.000239514;0.002771223;0.000356692;-0.002414531
-0.014285714;0.074230749;0.398461498;0.271052371;1618.37;1614.278004;1617.56;1614.72;1633.93;1633.86;;0.002528467;0.000500504;0.002255356;0.001754852
