particle_positions_x,particle_positions_y,particle_positions_z,noisy_particle_positions_x,noisy_particle_positions_y,noisy_particle_positions_z,counts_it1000,counts_it10000,counts_it100000,counts_it1000000,counts_it10000000,counts_it10001,counts_it100001,counts_it1000001,counts_it10000001,counts_it10002,counts_it100002,counts_it1000002,counts_it10000002,noisy_counts_it10000,noisy_counts_it100000,noisy_counts_it1000000,noisy_counts_it1000,noisy_counts_it10000000,nomad_run1,nomad_run2,nomad_run3,nomad_run4,nomad_run5,counts_it1000000,nomad_run5_2,nomad_run6,nomad_run7,nomad_run8,nomad_run9,nomad_run11,nomad_run12
0.06,0,0.0672727,0.061692051396423,-0.001610387173163,0.066009598601881,10138,9959.67,9988.55,9988.36,9994.81,10092.5,9897.13,9951.21,9991.08,10034.7,9989.89,9995.13,10006,10275.2,10332,10325.2,9988.16,10322.5,10006,10105.3,9999.92,9968.69,10001.7,9988.36,9999.56,10034.7,10064.3,10289,10017.9,9996.6,9983.44
0.0212132,-0.0212132,0.0672727,0.02345745390866,-0.025603123781442,0.066188617654216,4597.11,4672.3,4691.42,4698.07,4694.62,4685.35,4744.07,4684.11,4689.41,4492.71,4715.65,4706.87,4701.83,4842.63,4875.35,4881.42,4796.29,4875.28,4697.07,4721.76,4718.73,4689.24,4699.06,4698.07,4701.4,4697.28,4689.59,4664.07,4677.64,4698.1,4691.03
0.0636396,-0.0636396,0.0672727,0.064971292168319,-0.06538591396772,0.067096086244315,10904.4,10948.4,10952.3,10950.5,10941.6,10927.2,10998.2,10944.6,10930.2,10969.3,10957.2,10949.7,10943.4,11408.9,11340.6,11362.3,11344.3,11361.8,10924.2,11073,10966.5,10860.6,10967,10950.5,10963.3,11009.3,11024.5,11239.7,10988.1,10983,10938.6
0,-0.06,0.0672727,0.001991997361867,-0.057461742276156,0.066191998606269,3127.55,3117.42,3113.44,3109.9,3111.54,3042.96,3122.04,3113.82,3110.47,3110.31,3119.67,3110.82,3108.05,3201.62,3232.52,3224.59,3223.74,3225.5,3111.59,3117.54,3123.6,3116.14,3112.27,3109.9,3113.98,3114.82,3103.3,3072.74,3089.12,3112.81,3113.26
-0.0212132,-0.0212132,0.0672727,-0.023609853857445,-0.017568729595173,0.067394893183103,2200.15,2208.35,2169.12,2176,2172.27,2136.11,2148.32,2173.93,2172.84,2128.49,2132.22,2173.48,2174.98,2065.84,2090.76,2089.17,2140.34,2088.73,2175.25,2169.48,2171.52,2195.91,2171.48,2176,2168.37,2166,2161.75,2154.58,2154.78,2164.65,2173.86
-0.0636396,-0.0636396,0.0672727,-0.06523646891986,-0.062533249891914,0.06447729613437,1023.83,1026.96,1023.88,1025.49,1026.6,1032.56,1027.32,1026.21,1026.65,1039.7,1037.46,1027.79,1026.56,1001.53,1000.96,999.984,997.895,999.065,1026.38,1023.04,1017.59,1052.29,1019.39,1025.49,1019.43,1016.72,1017.34,1030.97,1016.56,1017.27,1025.94
-0.06,0,0.0672727,-0.062049131313716,-0.000544296831945,0.07097925256182,1128.9,1125.13,1124.68,1125.8,1125.14,1109.72,1121.39,1124.04,1124.13,1102.59,1120.97,1125.33,1125.07,1095.43,1086.66,1088.67,1104.59,1088.31,1127.39,1121.91,1114.99,1152.65,1118.73,1125.8,1117.05,1113.64,1116.89,1128.52,1114.78,1114.57,1125.45
-0.0212132,0.0212132,0.0672727,-0.021601254143295,0.018589890802427,0.067514626984368,2142.53,2153.78,2173.96,2174.29,2173.42,2135.75,2146.74,2176.66,2176.18,2213.87,2167.16,2182.14,2173.51,2160.46,2159.99,2161.73,2159.83,2162.22,2175.4,2172.93,2172.02,2196.12,2168.36,2174.29,2169.25,2165.35,2164.32,2155.04,2156.11,2165.33,2174.88
-0.0636396,0.0636396,0.0672727,-0.063376900102826,0.062849474741189,0.071335782843522,1016.11,1026.35,1027.87,1027.32,1026.47,1023.71,1024.18,1029.31,1026.62,1037.15,1017.37,1025.49,1027.24,1027.36,1032.73,1031.6,1029.39,1032.12,1027.53,1022.5,1017.59,1051.57,1019.35,1027.32,1019.34,1014.43,1018.09,1029.73,1015.36,1018.04,1026.76
0,0.03,0.0909091,-0.000882151785967,0.02910418231495,0.089753468189423,3205.22,3165.8,3132.69,3135.31,3134.58,3067.17,3139.87,3129.93,3132.33,3176.3,3144.66,3133.59,3132.92,3082.23,3093.72,3090.5,2915.51,3090.18,3132.45,3134.42,3144.89,3145.05,3135.3,3135.31,3134.25,3133.68,3122.96,3099.13,3117.14,3132.89,3134.25
0,0.09,0.0909091,0.001704601911852,0.09085476634473,0.088678266649949,3208.76,3248.58,3234.58,3231.05,3229.22,3313.15,3221.77,3230.15,3228.54,3217.22,3201.81,3234.77,3227.77,3358.79,3342.15,3356.77,3402.73,3356.69,3229,3237.84,3247.74,3228.57,3235.39,3231.05,3235.91,3237.44,3224.15,3168.64,3210.07,3233.09,3228.17
0.0424264,0.0424264,0.0909091,0.042239396337857,0.043116514537385,0.091606042582018,7014.59,6890.93,6859.65,6875.96,6878.84,6914.99,6849.95,6875.87,6887.95,7175.57,6848.09,6844.04,6877.68,6885.74,6842.96,6848.62,6769.55,6850.87,6878.03,6924.41,6909.08,6850.94,6891.46,6875.96,6893.75,6911.92,6899.68,6896.38,6870,6893.84,6875.32
0.03,0,0.0909091,0.02928225258091,-0.00494709421288,0.087140913038404,5482.73,5611.31,5511.24,5542.96,5544.22,5515.76,5575.13,5550.89,5543.37,5686.27,5504.48,5551.08,5547.76,5419.82,5498.32,5492.11,5435.48,5485.07,5543.99,5565.76,5557.88,5531.27,5556.95,5542.96,5552.69,5563.81,5544.16,5538.99,5525.71,5553.44,5544.94
